EPSG:10150;EPSG;10150;Vertical Coordinate Reference System;MSL UK & Ireland VORF08 depth;;Ireland and United Kingdom (UK) (including Isle of Man and Channel Islands) - inshore, nearshore and offshore.;
EPSG:10151;EPSG;10151;Vertical Coordinate Reference System;CD UK & Ireland VORF08 depth;;Ireland and United Kingdom (UK) (including Isle of Man and Channel Islands) - inshore, nearshore and offshore.;
EPSG:10156;EPSG;10156;Compound Coordinate Reference System;ETRS89 + MSL UK & Ireland VORF08 depth;;Ireland and United Kingdom (UK) (including Isle of Man and Channel Islands) - inshore, nearshore and offshore.;
EPSG:10157;EPSG;10157;Compound Coordinate Reference System;ETRS89 + CD UK & Ireland VORF08 depth;;Ireland and United Kingdom (UK) (including Isle of Man and Channel Islands) - inshore, nearshore and offshore.;
EPSG:10162;EPSG;10162;Compound Coordinate Reference System;JGD2011 / Japan Plane Rectangular CS I + JGD2011 (vertical) height;;Japan - onshore - Kyushu west of approximately 130°E - Nagasaki-ken;
EPSG:10163;EPSG;10163;Compound Coordinate Reference System;JGD2011 / Japan Plane Rectangular CS II + JGD2011 (vertical) height;;Japan - onshore - Kyushu east of approximately 130°E - Fukuoka-ken; Saga-ken; Kumamoto-ken; Oita-ken; Miyazaki-ken; Kagoshima-ken on Kyushu (except for area within Japan Plane Rectangular Coordinate System zone I).;
EPSG:10164;EPSG;10164;Compound Coordinate Reference System;JGD2011 / Japan Plane Rectangular CS III + JGD2011 (vertical) height;;Japan - onshore - Honshu west of approximately 133°15'E - Yamaguchi-ken; Shimane-ken; Hiroshima-ken.;
EPSG:10165;EPSG;10165;Compound Coordinate Reference System;JGD2011 / Japan Plane Rectangular CS IV + JGD2011 (vertical) height;;Japan - onshore - Shikoku - Kagawa-ken; Ehime-ken; Tokushima-ken; Kochi-ken.;
EPSG:10166;EPSG;10166;Compound Coordinate Reference System;JGD2011 / Japan Plane Rectangular CS V + JGD2011 (vertical) height;;Japan - onshore - Honshu between approximately 133°15'E and 135°10'E - Hyogo-ken; Tottori-ken; Okayama-ken.;
EPSG:10167;EPSG;10167;Compound Coordinate Reference System;JGD2011 / Japan Plane Rectangular CS VI + JGD2011 (vertical) height;;Japan - onshore - Honshu between approximately 135°10'E and 136°45'E - Kyoto-fu; Osaka-fu; Fukui-ken; Shiga-ken; Mie-ken; Nara-ken; Wakayama-ken.;
EPSG:10168;EPSG;10168;Compound Coordinate Reference System;JGD2011 / Japan Plane Rectangular CS VII + JGD2011 (vertical) height;;Japan - onshore - Honshu between approximately 136°15'E and 137°45'E - Ishikawa-ken; Toyama-ken; Gifu-ken; Aichi-ken.;
EPSG:10169;EPSG;10169;Compound Coordinate Reference System;JGD2011 / Japan Plane Rectangular CS VIII + JGD2011 (vertical) height;;Japan - onshore - Honshu between approximately 137°45'E and 139°E - Niigata-ken on Honshu; Nagano-ken; Yamanashi-ken; Shizuoka-ken.;
EPSG:10170;EPSG;10170;Compound Coordinate Reference System;JGD2011 / Japan Plane Rectangular CS IX + JGD2011 (vertical) height;;Japan - onshore - Honshu - Tokyo-to. (Excludes offshore island areas of Tokyo-to).;
EPSG:10171;EPSG;10171;Compound Coordinate Reference System;JGD2011 / Japan Plane Rectangular CS X + JGD2011 (vertical) height;;Japan - onshore - Honshu north of 38°N approximately - Aomori-ken; Akita-ken; Yamagata-ken; Iwate-ken; Miyagi-ken.;
EPSG:10172;EPSG;10172;Compound Coordinate Reference System;JGD2011 / Japan Plane Rectangular CS XI + JGD2011 (vertical) height;;Japan - onshore - Hokkaido west of approximately 141°E - Otaru city; Usu-gun and Abuta-gun of Iburi-shicho; Hiyama-shicho; Shiribeshi-shicho; Oshima-shicho.;
EPSG:10173;EPSG;10173;Compound Coordinate Reference System;JGD2011 / Japan Plane Rectangular CS XII + JGD2011 (vertical) height;;Japan - onshore - Hokkaido between approximately 141°E and 143°E - Sapporo city; Asahikawa city; Wakkanai city; Rumoi city; Bibai city; Yubari city; Iwamizawa city; Tomakomai city; Muroran city; Shibetsu city; Nayoro city; Ashibetsu city; Akabira city; Mikasa city; Takikawa city; Sunagawa city; Ebetsu city; Chitose city; Utashinai city; Fukagawa city; Monbetsu city; Furano city; Noboribetsu city; Eniwa city; Ishikari-shicho; Monbetsu-gun of Abashiri-shicho; Kamikawa-shicho; Soya-shicho; Hidaka-shicho; Iburi-shicho (except Usu-gun and Abuta-gun); Sorachi-shicho; Rumoi-shicho.;
EPSG:10174;EPSG;10174;Compound Coordinate Reference System;JGD2011 / Japan Plane Rectangular CS XIII + JGD2011 (vertical) height;;Japan - onshore - Hokkaido east of approximately 143°E - Kitami city; Obihiro city; Kushiro city; Abashiri city; Nemuro city; Nemuro-shicho; Kushiro-shicho; Abashiri-shicho (except Monbetsu-gun); Tokachi-shicho.;
EPSG:10175;EPSG;10175;Geographic 2D Coordinate Reference System;DoPw22-IRF;;United Kingdom (UK) - on or related to the rail route from Dovey Junction to Pwllheli.;
